Aurdino time, Nitrogen pressure, Line pressure, Chamber pressure, Oxidizer feeding pressure, Load cell, Heating blanket temperature, Not connected, Nozzle temperature, Piping temperature, Plume temperature, Dump valve button status, Heating button status, Ignition button status, N2 Feeding button status, Oxidizer valve button status, Ignition SW state, Valve SW state, Current SW mode, Current SW substate, Message index
1210400,0.10,-0.20,0.00,0.55,-19.43,12.07,0,18.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
1231024,0.10,-0.20,0.00,0.45,-19.43,10.61,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1251576,0.10,-0.20,0.00,0.74,-19.43,10.61,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1272024,0.10,-0.20,0.00,0.35,-19.43,10.61,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1292472,0.10,-0.20,0.00,0.55,-19.43,10.61,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1312928,0.10,-0.20,0.00,0.55,-19.43,10.61,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1333560,0.10,-0.20,0.00,0.65,-19.43,10.61,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1354104,0.10,-0.20,0.00,0.65,-18.07,10.61,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1374560,0.10,-0.20,0.00,0.55,-18.07,10.61,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1395008,0.10,-0.20,0.00,0.55,-19.43,10.61,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1415464,0.10,-0.20,0.00,0.65,-19.43,10.61,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
1436080,0.10,-0.20,0.00,0.55,-18.07,10.61,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1456632,0.10,-0.20,0.00,0.55,-19.43,10.61,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1477080,0.10,-0.20,0.00,0.35,-19.43,10.61,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1497536,0.10,-0.20,0.00,0.45,-19.43,10.61,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1517984,0.10,-0.20,0.00,0.65,-18.07,10.61,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1538600,0.10,-0.20,0.00,0.35,-18.07,9.63,0,19.00,12.25,19.68,0,0,0,0,0,0,0,2,0,0
1559152,0.10,-0.20,0.00,0.45,-19.43,9.63,0,19.00,12.25,19.68,0,0,0,0,0,0,0,2,0,0
1579600,0.10,-0.20,0.00,0.35,-19.43,9.63,0,19.00,12.25,19.68,0,0,0,0,0,0,0,2,0,0
1600056,0.10,-0.20,0.00,0.74,-18.07,9.63,0,19.00,12.25,19.68,0,0,0,0,0,0,0,2,0,0
1620504,0.10,-0.20,0.00,0.55,-19.43,9.63,0,19.00,12.25,19.68,0,0,0,0,0,0,0,2,0,0
1641120,0.10,-0.20,0.00,0.65,-18.07,9.63,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1661672,0.10,-0.20,0.00,0.55,-18.07,9.63,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1682128,0.10,-0.20,0.00,0.65,-19.43,9.63,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1702576,0.10,-0.20,0.00,0.55,-19.43,9.63,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1723032,0.10,-0.20,0.00,0.55,-19.43,9.63,0,18.25,13.25,19.68,0,0,0,0,0,0,0,2,0,0
1743648,0.10,-0.20,0.00,0.45,-19.43,11.58,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
1764208,0.10,-0.20,0.00,0.55,-18.07,11.58,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
1784664,0.10,-0.20,0.00,0.55,-18.07,11.58,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
1805128,0.10,-0.20,0.00,0.45,-19.43,11.58,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
1825568,0.10,-0.20,0.00,0.74,-19.43,11.58,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
1846192,0.10,-0.20,0.00,0.74,-19.43,11.58,0,18.75,12.50,19.68,0,0,0,0,0,0,0,2,0,0
1866744,0.10,-0.20,0.00,0.65,-18.07,11.58,0,18.75,12.50,19.68,0,0,0,0,0,0,0,2,0,0
1887216,0.10,-0.20,0.00,0.74,-19.43,11.58,0,18.75,12.50,19.68,0,0,0,0,0,0,0,2,0,0
1907688,0.10,-0.20,0.00,0.45,-19.43,11.58,0,18.75,12.50,19.68,0,0,0,0,0,0,0,2,0,0
1928160,0.10,-0.20,0.00,0.55,-19.43,11.58,0,18.75,12.50,19.68,0,0,0,0,0,0,0,2,0,0
1948784,0.10,-0.20,0.00,0.65,-19.43,9.63,0,18.75,14.25,19.68,0,0,0,0,0,0,0,2,0,0
1969336,0.10,-0.20,0.00,0.74,-19.43,9.63,0,18.75,14.25,19.68,0,0,0,0,0,0,0,2,0,0
1989792,0.10,-0.20,0.00,0.74,-18.07,9.63,0,18.75,14.25,19.68,0,0,0,0,0,0,0,2,0,0
2010248,0.10,-0.20,0.00,0.65,-19.43,9.63,0,18.75,14.25,19.68,0,0,0,0,0,0,0,2,0,0
2030696,0.10,-0.20,0.00,0.45,-18.07,9.63,0,18.75,14.25,19.68,0,0,0,0,0,0,0,2,0,0
2051320,0.10,-0.20,0.00,0.45,-19.43,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2071864,0.10,-0.20,0.00,0.55,-19.43,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2092320,0.10,-0.20,0.00,0.55,-19.43,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2112776,0.10,-0.20,0.00,0.65,-19.43,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2133224,0.10,-0.20,0.00,0.65,-19.43,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2153840,0.10,-0.20,0.00,0.65,-19.43,8.16,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2174392,0.10,-0.20,0.00,0.35,-18.07,8.16,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2194848,0.10,-0.20,0.00,0.55,-19.43,8.16,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2215296,0.10,-0.20,0.00,0.65,-19.43,8.16,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2235744,0.10,-0.20,0.00,0.45,-19.43,8.16,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2256368,0.10,-0.20,0.00,0.45,-18.07,8.65,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2276912,0.10,-0.20,0.00,0.55,-19.43,8.65,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2297368,0.10,-0.20,0.00,0.35,-19.43,8.65,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2317816,0.10,-0.20,0.00,0.55,-19.43,8.65,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2338264,0.10,-0.20,0.00,0.65,-19.43,8.65,0,19.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
2358888,0.10,-0.20,0.00,0.55,-22.15,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2379448,0.10,-0.20,0.00,0.45,-19.43,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2399904,0.10,-0.20,0.00,0.55,-19.43,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2420352,0.10,-0.20,0.00,0.65,-19.43,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2440808,0.10,-0.20,0.00,0.45,-20.79,8.16,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2461424,0.10,-0.20,0.00,0.65,-18.07,7.67,0,18.75,13.25,19.68,0,0,0,0,0,0,0,2,0,0
2481976,0.10,-0.20,0.00,0.55,-19.43,7.67,0,18.75,13.25,19.68,0,0,0,0,0,0,0,2,0,0
2502424,0.10,-0.20,0.00,0.65,-19.43,7.67,0,18.75,13.25,19.68,0,0,0,0,0,0,0,2,0,0
2522880,0.10,-0.20,0.00,0.65,-19.43,7.67,0,18.75,13.25,19.68,0,0,0,0,0,0,0,2,0,0
2543328,0.10,-0.20,0.00,0.35,-18.07,7.67,0,18.75,13.25,19.68,0,0,0,0,0,0,0,2,0,0
2563952,0.10,-0.20,0.00,0.74,-19.43,9.14,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
2584512,0.10,-0.20,0.00,0.45,-19.43,9.14,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
2604968,0.10,-0.20,0.00,0.55,-19.43,9.14,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
2625424,0.10,-0.20,0.00,0.45,-18.07,9.14,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
2645888,0.10,-0.20,0.00,0.45,-22.15,9.14,0,18.50,12.75,19.68,0,0,0,0,0,0,0,2,0,0
2666512,0.10,-0.20,0.00,0.45,-19.43,10.61,0,18.25,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2687064,0.10,-0.20,0.00,0.74,-19.43,10.61,0,18.25,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2707512,0.10,-0.20,0.00,0.65,-19.43,10.61,0,18.25,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2727968,0.10,-0.20,0.00,0.74,-20.79,10.61,0,18.25,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2748432,0.10,-0.20,0.00,0.35,-18.07,10.61,0,18.25,13.00,19.68,0,0,0,0,0,0,0,2,0,0
2769056,0.10,-0.20,0.00,0.26,-19.43,8.65,0,17.75,13.25,20.73,0,0,0,0,0,0,0,2,0,0
2789608,0.10,-0.20,0.00,0.45,-18.07,8.65,0,17.75,13.25,20.73,0,0,0,0,0,0,0,2,0,0
2810056,0.10,-0.20,0.00,0.55,-19.43,8.65,0,17.75,13.25,20.73,0,0,0,0,0,0,0,2,0,0
2830512,0.10,-0.20,0.00,0.45,-18.07,8.65,0,17.75,13.25,20.73,0,0,0,0,0,0,0,2,0,0
2850968,0.10,-0.20,0.00,0.45,-20.79,8.65,0,17.75,13.25,20.73,0,0,0,0,0,0,0,2,0,0
2871584,0.10,-0.20,0.00,0.45,-19.43,8.16,0,19.00,12.75,20.73,0,0,0,0,0,0,0,2,0,0
